;a;s;d;f;g;h;j;k;l;q;w;e;r;t
1;121959085;121919228;10159;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
2;121919105;121919230;10175;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
3;121959085;121919227;10239;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
4;121955985;121919236;10370;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
5;121919102;121919207;10444;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
6;121919102;121919209;10506;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
7;121919103;121919213;10608;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
8;121918234;121919217;10661;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
9;121918234;121919216;10675;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
10;121917113;121919222;15059;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
11;121917113;121919221;15061;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
12;121916890;121919219;15157;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
13;121955985;121919237;15180;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
14;121959112;121919206;15227;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
15;121919103;121919214;15287;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
16;121919101;121919201;20007;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
17;121919101;121919202;20017;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
18;121919101;121919203;20031;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
19;121919101;121919202;20034;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
20;121919104;121919224;20069;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
21;121919104;121919224;20077;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;Belum;0
